title,price,rating,reviews,availability,price_clean,rating_clean,reviews_clean,price_norm,rating_norm,reviews_norm,score,Price,Rating,Reviews
"Wireless Earbuds, Sports Bluetooth Headphones, Ear Buds with 80hr Playtime, Noise Canceling, LED Power Display, IPX7 Waterproof Earphones for Workout/Running Black",$22.78,4.9,"1,425 ratings",In Stock,22.78,4.9,1425,0.9640606060606061,1.0,0.009874078950162445,0.7911929976082143,0.2892181818181818,0.5,0.001974815790032489
"Sony ZX Series Wired On-Ear Headphones, Black MDR-ZX110",$12.88,4.5,"122,317 ratings",In Stock,12.88,4.5,122317,0.9840606060606061,0.5555555555555554,0.8655709624218745,0.7461101520803344,0.2952181818181818,0.2777777777777777,0.1731141924843749
Kids Headphones - noot products K11 Foldable Stereo Tangle-Free 3.5mm Jack Wired Cord On-Ear Headset for Children/Teens/Boys/Girls/Smartphones/School/Kindle/Airplane Travel/Plane/Tablet (Navy/Teal),$13.99,4.7,"40,200 ratings",In Stock,13.99,4.7,40200,0.9818181818181818,0.7777777777777777,0.2843310046079035,0.7403005443559241,0.29454545454545455,0.38888888888888884,0.056866200921580706
"Beats Solo3 Wireless On-Ear Headphones - Apple W1 Headphone Chip, Class 1 Bluetooth, 40 Hours of Listening Time, Built-in Microphone - Black",$114.95,4.6,"83,256 ratings",In Stock,114.95,4.6,83256,0.7778585858585858,0.666666666666666,0.5890896736245301,0.6845088438158147,0.23335757575757574,0.333333333333333,0.11781793472490604
"TOZO E1 Wireless Earbuds Build in Mic Clear Calls Ergonomic Light Weight Bluetooth 5.3 in Ear Headphones IPX6 Waterproof Premium Stereo Sound Ear Buds 30H Playtime with 32 EQs via APP, Black",$13.99,4.7,617 ratings,In Stock,13.99,4.7,617,0.9818181818181818,0.7777777777777777,0.004154899171143624,0.6842653232685721,0.29454545454545455,0.38888888888888884,0.0008309798342287248
"TOZO E1 Wireless Earbuds Build in Mic Clear Calls Ergonomic Light Weight Bluetooth 5.3 in Ear Headphones IPX6 Waterproof Premium Stereo Sound Ear Buds 30H Playtime with 32 EQs via APP, Black",$13.99,4.7,617 ratings,In Stock,13.99,4.7,617,0.9818181818181818,0.7777777777777777,0.004154899171143624,0.6842653232685721,0.29454545454545455,0.38888888888888884,0.0008309798342287248
"TOZO E1 Wireless Earbuds Build in Mic Clear Calls Ergonomic Light Weight Bluetooth 5.3 in Ear Headphones IPX6 Waterproof Premium Stereo Sound Ear Buds 30H Playtime with 32 EQs via APP, Black",$13.99,4.7,617 ratings,In Stock,13.99,4.7,617,0.9818181818181818,0.7777777777777777,0.004154899171143624,0.6842653232685721,0.29454545454545455,0.38888888888888884,0.0008309798342287248
"Soundcore Anker Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 60H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups, Travel, Office, USB-C Charging",$39.99,4.5,"85,987 ratings",In Stock,39.99,4.5,85987,0.9292929292929293,0.5555555555555554,0.608420218149902,0.6782497001956369,0.27878787878787875,0.2777777777777777,0.1216840436299804
Sony MDR7506 Professional Large Diaphragm Headphone,$98.00,4.7,"26,554 ratings",In Stock,98.0,4.7,26554,0.8121010101010101,0.7777777777777777,0.18774198571620693,0.6700675890624334,0.24363030303030303,0.38888888888888884,0.03754839714324139
"JBL Tune 510BT - Bluetooth headphones with up to 40 hours battery, microphone for call, foldable and comfortable, Android and iOs compatible (Black)",$29.95,4.5,"75,100 ratings",In Stock,29.95,4.5,75100,0.9495757575757575,0.5555555555555554,0.53135993318186,0.6689224916868769,0.2848727272727272,0.2777777777777777,0.10627198663637201
